,customer_id,customer_status,order_date,delivery_date,quantity_ordered,total_retail_price,cost_price_per_unit,product_line,product_category,product_group,product_name,supplier_country,supplier_name
325,11357,silver,2021-04-02,2021-04-04,3,127.8,18.5,Clothes & Shoes,Shoes,Shoes,Dundas Rubber Boot,ES,Luna sastreria S.A.
1934,45787,silver,2021-04-02,2021-04-04,1,20.0,9.15,Children,Children Sports,Tracker Kid's Clothes,Nwt Tricia 5 Children's Shorts,US,3Top Sports
3630,20864,silver,2021-04-02,2021-04-05,1,106.2,50.6,Clothes & Shoes,Clothes,Orion,Power Dmx Wide Shoes,CA,Fuller Trading Co.
6312,28916,silver,2021-04-02,2021-04-07,1,519.3,253.2,Outdoors,Outdoors,Tents,Family Holiday 4,SE,Petterson AB
6996,18258,silver,2021-04-02,2021-04-04,1,219.5,124.9,Sports,Golf,Golf,Hi-fly Intimidator Ti R80/10,NL,Van Dammeren International
9504,93163,silver,2021-04-02,2021-04-03,1,113.1,58.9,Outdoors,Outdoors,Anoraks & Parkas,Jacket with Removable Fleece,US,AllSeasons Outdoor Clothing
9607,77335,silver,2021-04-02,2021-04-07,1,144.9,72.55,Clothes & Shoes,Shoes,Eclipse Shoes,Woman's Air Tuned Sovereign,US,Eclipse Inc
15388,37218,gold,2021-04-02,2021-04-05,3,100.2,16.8,Clothes & Shoes,Shoes,Eclipse Shoes,Big Guy Men's Gts Canvas Plus Shoes,US,Eclipse Inc
17529,47984,silver,2021-04-02,2021-04-06,3,368.4,56.0,Outdoors,Outdoors,Backpacks,Tornado 55 Litre Red Women's Backpack,AU,Toto Outdoor Gear
19471,70434,silver,2021-04-02,2021-04-03,1,51.8,23.05,Clothes & Shoes,Shoes,Tracker Shoes,The Wish M Men's Running Shoes,US,3Top Sports
20585,90185,gold,2021-04-02,2021-04-05,2,270.4,69.1,Sports,Golf,Golf,Hi-fly 3.8 Stand Black/Blue,NL,Van Dammeren International
22219,25777,gold,2021-04-02,2021-04-07,1,36.1,18.15,Clothes & Shoes,Clothes,Eclipse Clothing,Woman's Short Cut & Sew Shorts,US,Eclipse Inc
24172,52221,gold,2021-04-02,2021-04-07,1,18.6,7.5,Sports,Swim Sports,Bathing Suits,Swimming Trunks Basic,US,Dolphin Sportswear Inc
25070,31877,gold,2021-04-02,2021-04-06,1,108.2,47.0,Clothes & Shoes,Shoes,Shoes,Twain Men's Exit Low 2000 Street Shoes,US,Twain Inc
25406,16121,gold,2021-04-02,2021-04-04,1,19.0,8.85,Clothes & Shoes,Clothes,Tracker Clothes,Stars Swim Suit,US,3Top Sports
26125,11542,silver,2021-04-02,2021-04-05,1,33.6,14.95,Clothes & Shoes,Clothes,T-Shirts,"T-Shirt, Short-sleeved, Big Logo",US,A Team Sports
26225,81763,silver,2021-04-02,2021-04-06,1,23.9,12.05,Clothes & Shoes,Clothes,Eclipse Clothing,Basic Dome Backpack,US,Eclipse Inc
27236,40477,gold,2021-04-02,2021-04-07,1,39.7,18.9,Sports,Running - Jogging,Running Clothes,Maxrun Long-sleeved T-Shirt,BE,Force Sports
27935,80842,gold,2021-04-02,2021-04-07,2,37.8,9.55,Sports,Golf,Golf,"Bretagne Difference Men's Golf Glove, left",NL,Van Dammeren International
