,customer_id,customer_status,order_date,delivery_date,quantity_ordered,total_retail_price,cost_price_per_unit,product_line,product_category,product_group,product_name,supplier_country,supplier_name
1729,57505,gold,2021-04-18,2021-04-19,1,22.6,9.65,Clothes & Shoes,Shoes,Tracker Shoes,Multicolour Bathing Sandal,ES,Luna sastreria S.A.
5779,38028,silver,2021-04-18,2021-04-20,1,31.4,13.9,Sports,Assorted Sports Articles,Assorted Sports articles,A-team Smoothsport Bra,US,A Team Sports
5780,87895,gold,2021-04-18,2021-04-20,1,31.4,13.9,Sports,Assorted Sports Articles,Assorted Sports articles,A-team Smoothsport Bra,US,A Team Sports
5871,43332,silver,2021-04-18,2021-04-22,2,226.4,54.0,Sports,Assorted Sports Articles,Skates,Pro-roll Lazer Roller Skates,PT,Magnifico Sports
6315,55579,gold,2021-04-18,2021-04-21,4,2077.2,253.2,Outdoors,Outdoors,Tents,Family Holiday 4,SE,Petterson AB
7643,39551,silver,2021-04-18,2021-04-19,1,182.9,77.8,Sports,Assorted Sports Articles,Assorted Sports articles,Brt Anorak,ES,Luna sastreria S.A.
7909,81454,silver,2021-04-18,2021-04-21,1,57.3,28.75,Clothes & Shoes,Shoes,Eclipse Shoes,Big Guy Men's Payoff Trainer Shoes,US,Eclipse Inc
9170,76394,silver,2021-04-18,2021-04-23,2,72.2,18.2,Sports,Assorted Sports Articles,Petanque - Boule,Boule Set 6-pack Lux,GB,Royal Darts Ltd
11795,82493,gold,2021-04-18,2021-04-20,3,159.0,23.45,Sports,Assorted Sports Articles,Petanque - Boule,Petanque Balls Chromium 8-pack,GB,Royal Darts Ltd
11796,84565,silver,2021-04-18,2021-04-23,2,106.0,23.45,Sports,Assorted Sports Articles,Petanque - Boule,Petanque Balls Chromium 8-pack,GB,Royal Darts Ltd
13538,29518,silver,2021-04-18,2021-04-21,1,37.4,16.3,Children,Children Sports,"Ypsilon, Kids",Ypsilon Children's Sweatshirt,FR,Ypsilon S.A.
13549,71202,gold,2021-04-18,2021-04-20,1,111.3,56.95,Sports,Golf,Golf,Proplay Staff 9 Black/Brown,NL,Van Dammeren International
17996,28279,silver,2021-04-18,2021-04-19,4,1103.6,125.25,Outdoors,Outdoors,Backpacks,Feelgood 55-75 Litre Black Women's Backpack,AU,Toto Outdoor Gear
20410,93628,silver,2021-04-18,2021-04-19,4,870.0,161.2,Sports,Assorted Sports Articles,Skates,Pro-roll Gretzky Roller Skates,PT,Magnifico Sports
23396,16157,gold,2021-04-18,2021-04-19,1,16.7,7.25,Outdoors,Outdoors,Outdoor Gear,Mattress with 5 channels 196x72,GB,Prime Sports Ltd
24117,88563,gold,2021-04-18,2021-04-22,1,22.2,10.05,Sports,Indoor Sports,Fitness,Fitness Dumbbell Foam 1.40,NL,TrimSport B.V.
24193,78591,silver,2021-04-18,2021-04-22,1,56.0,23.35,Outdoors,Outdoors,Gloves & Mittens,Twain Freeride Powder Ski Gloves,US,Twain Inc
26108,65384,gold,2021-04-18,2021-04-21,1,16.8,7.55,Outdoors,Outdoors,Sleepingbags,Pillow 40x50 160 Gram Blue/Red,GB,Outback Outfitters Ltd
26938,2577,gold,2021-04-18,2021-04-19,1,153.0,64.3,Sports,Indoor Sports,Top Trim,Top Men's Classic Fleece w/Zipper,US,Top Sports Inc
29917,81740,silver,2021-04-18,2021-04-24,1,117.6,58.9,Clothes & Shoes,Clothes,Eclipse Clothing,Big Guy Men's Clima Fit Jacket,US,Eclipse Inc
