,customer_id,customer_status,order_date,delivery_date,quantity_ordered,total_retail_price,cost_price_per_unit,product_line,product_category,product_group,product_name,supplier_country,supplier_name
286,76473,silver,2021-07-09,2021-07-13,1,129.2,56.35,Sports,Indoor Sports,Top Trim,Bike Pants Activent,US,Top Sports Inc
331,48056,silver,2021-07-09,2021-07-10,3,127.8,18.5,Clothes & Shoes,Shoes,Shoes,Dundas Rubber Boot,ES,Luna sastreria S.A.
1606,47197,silver,2021-07-09,2021-07-11,2,146.0,30.35,Outdoors,Outdoors,Outdoor Gear,Lucky Tech Classic Rain Pants,US,AllSeasons Outdoor Clothing
2018,10504,silver,2021-07-09,2021-07-11,2,173.2,34.1,Outdoors,Outdoors,Outdoor Gear,"Men's Pants, Basic",US,Mayday Inc
2512,71157,gold,2021-07-09,2021-07-11,1,71.7,28.65,Clothes & Shoes,Clothes,Green Tomato,Green Lime Board Pants Ii,US,Green Lime Sports Inc
3711,28844,silver,2021-07-09,2021-07-13,5,491.0,42.7,Sports,Racket Sports,Tennis,Harry Penny Men's Tennis Sweater,GB,Harry Penny Ltd
4288,78065,gold,2021-07-09,2021-07-14,2,203.2,50.9,Clothes & Shoes,Shoes,Eclipse Shoes,Woman's Air Mickey Wilma,US,Eclipse Inc
4537,75399,gold,2021-07-09,2021-07-14,2,84.4,18.35,Children,Children Sports,"Bathing Suits, Kids",Sunfit Maximum Swim Suit Jr.,US,Nautlius SportsWear Inc
4903,10994,gold,2021-07-09,2021-07-13,4,953.6,116.35,Sports,Assorted Sports Articles,Skates,Rollerskate Roller Skates Proto Sv,PT,Magnifico Sports
5678,7968,silver,2021-07-09,2021-07-10,2,259.6,63.2,Outdoors,Outdoors,Sleepingbags,"Basic 10, Left , Yellow/Black",DK,Top Sports
6051,44907,silver,2021-07-09,2021-07-13,2,146.8,36.8,Outdoors,Outdoors,Sleepingbags,"Expedition 10,Small,Left,Blue Ribbon",DK,Top Sports
7124,9962,gold,2021-07-09,2021-07-12,2,48.0,11.95,Children,Children Sports,"Lucky Guy, Kids","Rain Suit, Plain w/backpack Jacket",US,AllSeasons Outdoor Clothing
8564,52525,silver,2021-07-09,2021-07-10,2,17.8,4.1,Sports,Assorted Sports Articles,Assorted Sports articles,Hiclass Mundo 78a 36x72mm Pink-Swirl,US,Roll-Over Inc
