,customer_id,customer_status,order_date,delivery_date,quantity_ordered,total_retail_price,cost_price_per_unit,product_line,product_category,product_group,product_name,supplier_country,supplier_name
2833,85117,gold,2021-08-24,2021-08-30,3,231.0,38.6,Outdoors,Outdoors,Sleepingbags,"Expedition Zero,Medium,Right,Charcoal",DK,Top Sports
2879,63544,silver,2021-08-24,2021-08-26,2,47.0,9.2,Children,Children Sports,"Olssons, Kids",Strap Pants BBO,ES,Sportico
5682,76197,silver,2021-08-24,2021-08-25,3,389.4,63.2,Outdoors,Outdoors,Sleepingbags,"Basic 10, Left , Yellow/Black",DK,Top Sports
7386,50876,silver,2021-08-24,2021-08-25,3,191.4,31.85,Sports,Assorted Sports Articles,Skates,Proskater W-10 Jr. Fitness Roller Skates,US,Roll-Over Inc
12203,55028,silver,2021-08-24,2021-08-28,1,97.8,42.45,Sports,Winter Sports,Winter Sports,Cayenne Red,CA,CrystalClear Optics Inc
13676,34257,gold,2021-08-24,2021-08-27,2,248.6,62.25,Clothes & Shoes,Shoes,Eclipse Shoes,Big Guy Men's Air Structure Triax Shoes,US,Eclipse Inc
14199,1218,silver,2021-08-24,2021-08-26,3,179.1,27.2,Sports,Assorted Sports Articles,Assorted Sports articles,Fit4you Padded 2 Pair Red,US,Twain Inc
17856,39414,gold,2021-08-24,2021-08-27,2,34.0,7.8,Sports,Team Sports,Soccer,Fga Black/White/Black,US,Teamsports Inc
19826,77717,gold,2021-08-24,2021-08-27,2,198.0,49.6,Clothes & Shoes,Shoes,Eclipse Shoes,Big Guy Men's Air Span Triax Shoes,US,Eclipse Inc
20420,42339,gold,2021-08-24,2021-08-26,3,652.5,161.2,Sports,Assorted Sports Articles,Skates,Pro-roll Gretzky Roller Skates,PT,Magnifico Sports
20717,32870,silver,2021-08-24,2021-08-28,2,122.6,31.95,Sports,Team Sports,Soccer,Enland Player Shirt,US,Fga Sports Inc
24680,4132,gold,2021-08-24,2021-08-29,5,98.5,9.95,Clothes & Shoes,Clothes,Eclipse Clothing,Oz Tee,US,Eclipse Inc
24773,9021,gold,2021-08-24,2021-08-26,2,126.0,28.7,Clothes & Shoes,Clothes,Leisure,Van Damme Women's Polo Pique L,NL,Van Dammeren International
25132,22257,gold,2021-08-24,2021-08-29,2,91.6,19.5,Sports,Assorted Sports Articles,Assorted Sports articles,Saturn Big Bag,ES,Luna sastreria S.A.
26863,40160,silver,2021-08-24,2021-08-26,2,12.2,2.85,Sports,Assorted Sports Articles,Skates,Brake Pad 1-pack,PT,Magnifico Sports
29794,25297,gold,2021-08-24,2021-08-27,2,352.8,84.1,Sports,Racket Sports,Racket Sports,Grandslam Ultra Cs Titanium Stretch Tennis,GB,GrandSlam Sporting Goods Ltd
30216,18503,silver,2021-08-24,2021-08-28,2,398.2,95.65,Outdoors,Outdoors,Backpacks,Commanche Women's 6000 Q Backpack. Bark,DK,Top Sports
32933,49128,gold,2021-08-24,2021-08-25,2,37.0,7.5,Sports,Golf,Golf Clothes,Eagle Cap,US,HighPoint Trading
33557,28644,gold,2021-08-24,2021-08-30,3,24.9,3.3,Outdoors,Outdoors,Outdoor Gear,Lightweight sleeping mat 190x60 Cm,GB,Prime Sports Ltd
34328,25134,silver,2021-08-24,2021-08-25,2,384.8,89.9,Sports,Assorted Sports Articles,Skates,Rollerskate Roller Skates Sq7-Ls 76mm/78a,PT,Magnifico Sports
34723,82555,silver,2021-08-24,2021-08-25,2,70.0,17.6,Clothes & Shoes,Clothes,Eclipse Clothing,Woman's Dry Fit T-Shirt w/Short sleeves,US,Eclipse Inc
38067,60436,gold,2021-08-24,2021-08-25,2,195.2,48.9,Clothes & Shoes,Clothes,Eclipse Clothing,Big Guy Men's Micro Fiber Full Zip Jacket,US,Eclipse Inc
43710,91,silver,2021-08-24,2021-08-28,2,210.2,47.75,Clothes & Shoes,Shoes,Shoes,Dubby Low Men's Street Shoes Large,SE,Petterson AB
43813,55146,gold,2021-08-24,2021-08-28,2,55.8,14.05,Sports,Golf,Golf,Top Covers with Cap,US,Twain Inc
45925,61024,silver,2021-08-24,2021-08-30,2,167.8,35.05,Sports,Assorted Sports Articles,Assorted Sports articles,Gordon Sweatshirt,ES,Luna sastreria S.A.
45971,83359,silver,2021-08-24,2021-08-27,2,191.4,47.95,Sports,Golf,Golf,Proplay Men's Tour Force Ti 5w,NL,Van Dammeren International
46554,29421,gold,2021-08-24,2021-08-28,2,519.8,125.7,Sports,Golf,Golf,Grandslam Staff Fs Metal Matrix Fair,GB,GrandSlam Sporting Goods Ltd
46855,57499,silver,2021-08-24,2021-08-30,2,21.4,4.35,Children,Children Sports,"Olssons, Kids",Upright Shoe Balance Shoes,ES,Sportico
47328,61642,gold,2021-08-24,2021-08-25,1,2.5,0.7,Sports,Indoor Sports,Fitness,Elastic,US,SD Sporting Goods Inc
47667,73399,silver,2021-08-24,2021-08-26,2,3.6,0.6,Sports,Golf,Golf,"Tee, Wood Stain",NL,Van Dammeren International
50195,60339,gold,2021-08-24,2021-08-27,2,413.8,91.1,Clothes & Shoes,Clothes,Leisure,Van Damme Women's Reversible Fleece,NL,Van Dammeren International
52274,59507,silver,2021-08-24,2021-08-25,2,137.2,34.4,Clothes & Shoes,Shoes,Eclipse Shoes,Big Guy Men's Cortez Leather Street Shoes,US,Eclipse Inc
53964,13973,gold,2021-08-24,2021-08-29,2,77.4,17.25,Clothes & Shoes,Clothes,Tracker Clothes,Woman Women's Tennis Polo V-Neck,US,3Top Sports
