,customer_id,customer_status,order_date,delivery_date,quantity_ordered,total_retail_price,cost_price_per_unit,product_line,product_category,product_group,product_name,supplier_country,supplier_name
1217,72607,silver,2021-04-24,2021-04-25,1,35.5,17.25,Outdoors,Outdoors,Outdoor Gear,Rain Jacket,US,AllSeasons Outdoor Clothing
1730,55028,gold,2021-04-24,2021-04-28,3,67.8,9.65,Clothes & Shoes,Shoes,Tracker Shoes,Multicolour Bathing Sandal,ES,Luna sastreria S.A.
1731,55128,silver,2021-04-24,2021-04-26,1,22.6,9.65,Clothes & Shoes,Shoes,Tracker Shoes,Multicolour Bathing Sandal,ES,Luna sastreria S.A.
3817,5526,silver,2021-04-24,2021-04-27,1,47.9,20.0,Sports,Swim Sports,Bathing Suits,Sunfit Malda Low Women's Swim Suit,US,Nautlius SportsWear Inc
5015,10602,silver,2021-04-24,2021-04-25,2,29.4,6.45,Sports,Assorted Sports Articles,Assorted Sports articles,Topnotch Goalkeeper Gloves,US,Teamsports Inc
5664,35619,silver,2021-04-24,2021-04-29,1,129.8,63.2,Outdoors,Outdoors,Sleepingbags,"Basic 10, Left , Yellow/Black",DK,Top Sports
7593,28643,silver,2021-04-24,2021-04-30,1,61.4,26.65,Sports,Running - Jogging,Jogging,Ypsilon Pants Infiesto,FR,Ypsilon S.A.
8360,22391,silver,2021-04-24,2021-05-09,1,16.0,6.35,Sports,Assorted Sports Articles,Darts,Aim4it 16 Gram Softtip Pil,GB,Royal Darts Ltd
8562,63009,silver,2021-04-24,2021-04-25,1,8.9,4.1,Sports,Assorted Sports Articles,Assorted Sports articles,Hiclass Mundo 78a 36x72mm Pink-Swirl,US,Roll-Over Inc
8698,91863,silver,2021-04-24,2021-04-29,3,277.5,40.25,Clothes & Shoes,Shoes,Shoes,Twain Inco Women's Street Shoes,US,Twain Inc
9780,34039,gold,2021-04-24,2021-04-30,3,214.5,31.65,Clothes & Shoes,Shoes,Shoes,Profi Crosswinds 23 Sandal,NL,Van Dammeren International
12098,8591,silver,2021-04-24,2021-04-30,2,71.4,14.35,Sports,Racket Sports,Tennis,Smasher Polo-Shirt w/V-Neck,GB,British Sports Ltd
16282,49774,platinum,2021-04-24,2021-04-26,1,34.2,13.75,Sports,Racket Sports,Tennis,"Smasher Polo-Shirt, Short Sleeved",GB,British Sports Ltd
19211,26934,silver,2021-04-24,2021-04-28,1,12.9,5.45,Outdoors,Outdoors,Backpacks,Deer Waist Bag,ES,Luna sastreria S.A.
20484,85824,gold,2021-04-24,2021-04-26,1,127.3,58.0,Clothes & Shoes,Shoes,Shoes,Soft Ds Trainer Women's Running Shoes,US,Pro Sportswear Inc
20937,5063,silver,2021-04-24,2021-04-27,1,14.8,7.3,Sports,Assorted Sports Articles,Assorted Sports articles,Green,CA,CrystalClear Optics Inc
22784,1694,silver,2021-04-24,2021-04-29,3,202.5,32.15,Outdoors,Outdoors,Sleepingbags,"Trekker  Large Sleeping Bag, Right, Graphite/",DK,Top Sports
23140,52702,gold,2021-04-24,2021-04-29,2,111.0,22.25,Sports,Racket Sports,Tennis,Smasher Cotton,GB,British Sports Ltd
24443,17431,gold,2021-04-24,2021-04-29,2,38.2,7.7,Sports,Racket Sports,Tennis,Smasher Shorts,GB,British Sports Ltd
