,customer_id,customer_status,order_date,delivery_date,quantity_ordered,total_retail_price,cost_price_per_unit,product_line,product_category,product_group,product_name,supplier_country,supplier_name
145,47454,silver,2021-04-13,2021-04-14,3,159.0,26.6,Clothes & Shoes,Shoes,Tracker Shoes,Maya Trx Liga Football Boot,US,3Top Sports
7333,76190,gold,2021-04-13,2021-04-16,1,173.0,72.75,Outdoors,Outdoors,Outdoor Gear,Jl Legacy Curig I.A.Jacket,US,AllSeasons Outdoor Clothing
10034,84194,gold,2021-04-13,2021-04-16,1,8.0,3.5,Outdoors,Outdoors,Outdoor Gear,Knife,US,KN Outdoor Trading Inc
10687,7447,gold,2021-04-13,2021-04-17,1,88.5,42.45,Outdoors,Outdoors,Sleepingbags,"Outback Sleeping Bag, Large,Right, Blue/Black",DK,Top Sports
10915,88771,silver,2021-04-13,2021-04-17,1,26.4,11.8,Sports,Swim Sports,Bathing Suits,Sunfit Madly Swim Suit,US,Nautlius SportsWear Inc
12613,40649,gold,2021-04-13,2021-04-17,1,101.7,42.0,Outdoors,Outdoors,Outdoor Gear,Men's Sports Pullover,US,Mayday Inc
13831,28008,gold,2021-04-13,2021-04-16,2,39.2,8.7,Sports,Team Sports,Soccer,Big-Jim 22 Goalkeeper Gloves,US,Teamsports Inc
14085,74300,silver,2021-04-13,2021-04-15,2,444.0,110.95,Sports,Assorted Sports Articles,Skates,Proskater Kitalpha Gamma Roller Skates,US,Roll-Over Inc
18385,29081,gold,2021-04-13,2021-04-18,2,55.0,12.55,Clothes & Shoes,Clothes,Tracker Clothes,Mojo Tee 2,US,3Top Sports
18730,86515,gold,2021-04-13,2021-04-19,3,75.0,12.2,Outdoors,Outdoors,Outdoor Gear,Jl Rainlight Essential Pants,US,AllSeasons Outdoor Clothing
19368,4737,silver,2021-04-13,2021-04-16,1,127.3,63.6,Sports,Winter Sports,Winter Sports,Typhoon Black,US,Eclipse Inc
20303,48472,silver,2021-04-13,2021-04-15,1,64.6,27.35,Sports,Assorted Sports Articles,Assorted Sports articles,Richard Polo-Shirt,ES,Luna sastreria S.A.
20409,18232,silver,2021-04-13,2021-04-14,2,435.0,161.2,Sports,Assorted Sports Articles,Skates,Pro-roll Gretzky Roller Skates,PT,Magnifico Sports
22316,78869,silver,2021-04-13,2021-04-15,1,118.6,59.4,Outdoors,Outdoors,Sleepingbags,"Expedition 20,Large,Right,Forestgreen",DK,Top Sports
