,customer_id,customer_status,order_date,delivery_date,quantity_ordered,total_retail_price,cost_price_per_unit,product_line,product_category,product_group,product_name,supplier_country,supplier_name
367,58370,silver,2021-04-14,2021-04-20,1,27.6,11.2,Sports,Winter Sports,Ski Dress,Ski Mitten,ES,Luna sastreria S.A.
991,78776,gold,2021-04-14,2021-04-20,1,122.0,58.0,Outdoors,Outdoors,Backpacks,Expedition Camp Duffle Medium Backpack,US,Miller Trading Inc
2907,22390,silver,2021-04-14,2021-04-17,1,47.9,20.9,Sports,Winter Sports,Winter Sports,Gtx Powder Thermo 04 Red,US,Twain Inc
10464,17756,silver,2021-04-14,2021-04-18,1,315.1,150.0,Clothes & Shoes,Clothes,Massif,Massif Men's Race 3 Ski Bottle,FR,Massif S.A.
11333,52987,silver,2021-04-14,2021-04-18,1,26.99,10.23,Sports,Team Sports,American Football,Football - Helmet Pro XL,US,A Team Sports
12686,75941,gold,2021-04-14,2021-04-18,2,154.0,35.9,Clothes & Shoes,Shoes,Tracker Shoes,Hardcore Men's Street Shoes,GB,Greenline Sports Ltd
14246,84559,gold,2021-04-14,2021-04-20,1,8.9,4.15,Sports,Assorted Sports Articles,Assorted Sports articles,"Ounce Orange, tinned",FR,Ypsilon S.A.
16407,64191,silver,2021-04-14,2021-04-18,1,34.9,16.75,Sports,Running - Jogging,Running Clothes,Maxrun Running T-Shirt,BE,Force Sports
21130,16772,silver,2021-04-14,2021-04-15,1,195.9,55.55,Sports,Racket Sports,Racket Sports,Titanium Twister,FR,Le Blanc S.A.
22057,38521,gold,2021-04-14,2021-04-19,1,57.8,25.5,Sports,Swim Sports,Bathing Suits,Swim Suit with Zipper,ES,Luna sastreria S.A.
22382,32798,gold,2021-04-14,2021-04-16,1,150.1,64.1,Outdoors,Outdoors,Outdoor Gear,Polyester 4-Persons,GB,Prime Sports Ltd
26014,55579,silver,2021-04-14,2021-04-17,1,297.0,135.5,Sports,Assorted Sports Articles,Assorted Sports articles,Men's Soft Boot,US,Roll-Over Inc
29437,73505,silver,2021-04-14,2021-04-22,1,38.5,17.5,Clothes & Shoes,Shoes,Tracker Shoes,Pytossage Bathing Sandal,US,3Top Sports
33525,40992,silver,2021-04-14,2021-04-17,1,107.3,10.75,Sports,Golf,Golf Clothes,Top (1/100),US,Mike Schaeffer Inc
34326,51909,gold,2021-04-14,2021-04-19,2,384.8,89.9,Sports,Assorted Sports Articles,Skates,Rollerskate Roller Skates Sq7-Ls 76mm/78a,PT,Magnifico Sports
44841,63099,silver,2021-04-14,2021-04-17,1,17.1,5.1,Outdoors,Outdoors,Gloves & Mittens,Montana Women's/Junior Gloves,SE,Svensson Trading AB
45698,38854,gold,2021-04-14,2021-04-20,1,19.9,9.05,Sports,Assorted Sports Articles,Assorted Sports articles,Elbow Protection Elbow Pads,PT,Magnifico Sports
50910,92062,gold,2021-04-14,2021-04-16,1,40.5,18.45,Clothes & Shoes,Clothes,Tracker Clothes,Comp. Short Workout Tight,US,3Top Sports
52815,18872,gold,2021-04-14,2021-04-19,1,124.5,49.9,Sports,Golf,Golf Clothes,Top Of Florence Pants,FR,ToughWear S.A.
