,customer_id,customer_status,order_date,delivery_date,quantity_ordered,total_retail_price,cost_price_per_unit,product_line,product_category,product_group,product_name,supplier_country,supplier_name
2537,54993,gold,2021-05-27,2021-05-31,3,342.6,57.2,Clothes & Shoes,Clothes,Eclipse Clothing,Big Guy Men's Clima Fit Ultra Lite Jacket,US,Eclipse Inc
2977,73851,silver,2021-05-27,2021-05-28,3,76.8,12.1,Clothes & Shoes,Clothes,Knitwear,Instyle Pullover Mid,US,AllSeasons Outdoor Clothing
5673,60464,silver,2021-05-27,2021-06-01,2,259.6,63.2,Outdoors,Outdoors,Sleepingbags,"Basic 10, Left , Yellow/Black",DK,Top Sports
6046,56607,silver,2021-05-27,2021-05-31,2,146.8,36.8,Outdoors,Outdoors,Sleepingbags,"Expedition 10,Small,Left,Blue Ribbon",DK,Top Sports
6384,12810,gold,2021-05-27,2021-05-28,1,23.8,11.4,Sports,Running - Jogging,Running Clothes,Men's Singlet,BE,Force Sports
7345,44838,gold,2021-05-27,2021-05-31,2,346.0,72.75,Outdoors,Outdoors,Outdoor Gear,Jl Legacy Curig I.A.Jacket,US,AllSeasons Outdoor Clothing
8364,21259,gold,2021-05-27,2021-06-01,1,16.0,6.35,Sports,Assorted Sports Articles,Darts,Aim4it 16 Gram Softtip Pil,GB,Royal Darts Ltd
9039,90454,silver,2021-05-27,2021-05-31,2,85.4,21.45,Sports,Golf,Golf,Proplay Molitor Ms3,NL,Van Dammeren International
11453,25587,gold,2021-05-27,2021-05-28,2,128.4,32.2,Outdoors,Outdoors,Sleepingbags,"Expedition Zero,Small,Right,Charcoal",DK,Top Sports
14433,48150,gold,2021-05-27,2021-05-29,1,47.2,22.45,Sports,Running - Jogging,Running Clothes,Short Biking Spinning Pants,BE,Force Sports
17008,7360,silver,2021-05-27,2021-05-29,2,44.0,9.1,Sports,Swim Sports,Bathing Suits,Sunfit Bombay Swimming Trunks,US,Nautlius SportsWear Inc
17177,65380,gold,2021-05-27,2021-06-02,1,39.1,19.65,Clothes & Shoes,Shoes,Eclipse Shoes,Cnv Plus Men's Off Court Tennis,US,Eclipse Inc
18605,61745,gold,2021-05-27,2021-06-01,1,66.4,30.25,Clothes & Shoes,Shoes,Shoes,Lulu Men's Street Shoes,SE,Petterson AB
20939,81074,platinum,2021-05-27,2021-06-02,1,14.8,7.3,Sports,Assorted Sports Articles,Assorted Sports articles,Green,CA,CrystalClear Optics Inc
21014,75360,gold,2021-05-27,2021-05-31,1,58.9,26.1,Sports,Running - Jogging,Jogging,Men's Sweatshirt w/Hood Big Logo,US,A Team Sports
22025,56759,silver,2021-05-27,2021-05-28,1,181.3,90.8,Sports,Assorted Sports Articles,Skates,Twain Ac7/Ft7 Men's Roller Skates,US,Twain Inc
22905,20783,gold,2021-05-27,2021-05-28,3,441.9,61.3,Outdoors,Outdoors,Outdoor Gear,Mayday Rain Jacket,US,Mayday Inc
23500,13491,gold,2021-05-27,2021-06-01,3,236.4,39.5,Clothes & Shoes,Clothes,Eclipse Clothing,Big Guy Men's Full Zip Micro Fibre Jacket,US,Eclipse Inc
23563,39414,silver,2021-05-27,2021-05-30,2,431.0,97.85,Outdoors,Outdoors,Backpacks,Jaguar 60-85 Navy Men's Backpack,AU,Toto Outdoor Gear
26064,21999,silver,2021-05-27,2021-05-28,2,84.8,19.35,Clothes & Shoes,Clothes,Tracker Clothes,Elastic Knee Pant,US,3Top Sports
26148,75104,silver,2021-05-27,2021-05-28,3,302.7,50.4,Sports,Assorted Sports Articles,Skates,Plus Jr.Skates,US,Roll-Over Inc
28239,48280,gold,2021-05-27,2021-05-29,3,313.2,46.0,Clothes & Shoes,Clothes,Leisure,Van Damme Men's Golf Sweater Round Neck,NL,Van Dammeren International
28534,27936,silver,2021-05-27,2021-06-03,1,128.2,57.05,Sports,Winter Sports,Ski Dress,Women's Ski Jacket Ski Craft,NO,Scandinavian Clothing A/S
30162,22165,gold,2021-05-27,2021-06-02,1,201.8,91.65,Clothes & Shoes,Shoes,Shoes,Twain Stf7 Women's Outdoor Boots,US,Twain Inc
30923,18072,silver,2021-05-27,2021-05-29,3,120.0,18.6,Children,Children Sports,"Lucky Guy, Kids",Wyoming Fleece Top,US,AllSeasons Outdoor Clothing
35501,81842,silver,2021-05-27,2021-05-31,1,105.5,52.85,Clothes & Shoes,Shoes,Eclipse Shoes,Woman's Air Stormy,US,Eclipse Inc
36688,28032,silver,2021-05-27,2021-05-31,4,376.4,37.7,Clothes & Shoes,Clothes,Street Wear,Anthony Bork Emma Nylon Pants Paper,US,Mayday Inc
38784,27716,platinum,2021-05-27,2021-05-31,1,58.4,24.3,Sports,Running - Jogging,Running Clothes,Cama Classic Men's Jacket,BE,Force Sports
39183,15840,silver,2021-05-27,2021-05-30,1,110.3,55.25,Clothes & Shoes,Clothes,Eclipse Clothing,Big Guy Men's Killer Pants,US,Eclipse Inc
39202,4256,gold,2021-05-27,2021-05-28,1,5.6,2.85,Children,Children Sports,Tracker Kid's Clothes,Stars Children's Swimming Trunks,US,3Top Sports
39838,60465,silver,2021-05-27,2021-05-28,2,78.4,20.05,Outdoors,Outdoors,Outdoor Gear,Outback Storm Kitchen,GB,Prime Sports Ltd
40439,81097,gold,2021-05-27,2021-05-29,1,24.2,12.2,Clothes & Shoes,Clothes,Eclipse Clothing,Oregon Tactel Shorts,US,Eclipse Inc
49486,48297,silver,2021-05-27,2021-06-02,1,47.3,22.55,Sports,Assorted Sports Articles,Assorted Sports articles,Grandslam Stutesman Tour Alu 23 Junior,GB,GrandSlam Sporting Goods Ltd
53117,35005,gold,2021-05-27,2021-05-30,1,35.2,15.75,Clothes & Shoes,Clothes,Tracker Clothes,Ofc Shorts,US,3Top Sports
53811,88343,gold,2021-05-27,2021-05-30,3,84.0,12.55,Sports,Golf,Golf,"Men's.l Men's Winter Gloves, Large",NL,Van Dammeren International
54122,53898,gold,2021-05-27,2021-05-30,1,177.1,82.2,Sports,Assorted Sports Articles,Skates,Razors Superflat Roller Skates,PT,Magnifico Sports
54268,62232,gold,2021-05-27,2021-06-01,1,12.2,5.35,Sports,Assorted Sports Articles,Assorted Sports articles,Bruce Laudrup Boys Black/Blue,US,Teamsports Inc
